a|يك(0.5)
birth|تولد(0.75),ميلاد(0.5),زايش(0.5),پيدايش(0.25),اغاز(0.25)
bishop|اسقف(0.75),پيل(0.5)
bitc|bitc(0.75)
bite|نيش(0.75),گاز(0.75),گزش(0.75),گزندگي(0.25),گاز گرفتن(0.5),نيش زدن(0.5),گزيدن(0.25),سو زاندن(0.25)
bizarre|غريب و عجيب(0.5),غير مانوس(0.5),ناشي از هوس(0.5),وهمي(0.5)
black|سياه(0.75),مشكي(0.5),سياه رنگ(0.5),تيره(0.25),تاريك(0.25),چرك و كثيف(0.25),زشت(0.25),تهديد اميز(0.25),سياهي(0.5),دوده(0.25),لباس عزا(0.25),سياه شدن(0.25),سياه كردن(0.25)
blackwells|blackwells(0.75)
blame|سرزنش(0.75),گناه(0.5),عتاب(0.5),اشتباه(0.5),سب(0.25),مذمت(0.25),مقصر دانستن(0.5),سرزنش كردن(0.5),گله كردن(0.25),عيب جويي كردن از(0.25),ملامت كردن(0.25),انتقاد كردن(0.25),لكه دار كردن(0.25),عتاب كردن(0.25)
blank|سفيد(0.75),نانوشته(0.5),پوچ(0.25),فاصله(0.5),سفيدي(0.5),فاصله ياجاي سفيدوخالي(0.25),جاي ننوشته(0.25),ورقه سفيد(0.25),ورقه پوچ(0.25)
blaring|وافغان(0.75)
blaze|فروغ(0.75),درخشندگي(0.5),رنگ يا نور درخشان(0.5),شعله درخشان يا اتش مشتعل(0.5),با تصوير نشان دادن(0.75),جار زدن(0.5)
blind|كور(0.75),نابينا(0.75),تاريك(0.25),غير خوانايي(0.25),بي بصيرت(0.25),هر چيزي كه مانع عبور نور شود(0.25),عاجز(0.25),نا پيدا(0.25),كور كردن(0.5),خيره كردن(0.25),درز يا راه گرفتن(0.25),اغفال كردن(0.25),پرده(0.5),چشم بند(0.25),پناه(0.25),در پوش(0.25)
blinding|خيره كننده(0.75)
blink|چشمك زدن(0.75),سوسو زدن(0.5),تجاهل كردن(0.5),چشمك(0.75),نگاه مختصر(0.5),سوسو زدن نور چراغ(0.5)
blitz|حمله رعد اسا(0.75),حمله رعد اسا كردن(0.5)
blm|BLM(0.75)
bloc|بلوك(0.75),توده(0.25),جعبه قرقره(0.25),كنده(0.25),قطعه(0.25),قلنبه(0.25)
block|بلوك(0.75),توده(0.25),انسداد(0.5),سد(0.5),قطعه(0.5),كند(0.25),جعبه قرقره(0.25),كنده(0.25),مانع ورادع(0.25),قلنبه(0.25),مسدود كردن(0.75),بستن(0.5)
blood|خون(0.75),مزاج(0.25),نسبت(0.25),نژاد(0.25),نيرو(0.25),خون جاريكردن(0.25),خون گرفتن(0.25)
bloodthirsty|خونخوار(0.75),سفاك(0.75),خونريز(0.75),خون اشام(0.5),تشنه بخون(0.5),بي رحم(0.5)
bloody|خونين(0.75),خوني(0.75),برنگ خون(0.25),خون الود(0.25),قرمز(0.25),خون مانند(0.25)
blow|فوت(0.5),ضربت(0.5),ضرب(0.25),خود ستا(0.25),دميدن(0.5),وزيدن(0.25),در اثر دميدن ايجاد صدا كردن(0.25),تركيدن(0.25)
blue|ابي(0.5),نيلي(0.25),مستعد افسردگي(0.25),داراي خلق گرفته اسمان(0.25),اسمان نيلگون(0.25),زاغ(0.25)
blueprint|طرح(0.75),برنامه كار(0.5)
board|تخته(0.75),تابلو(0.5),تخته يا مقوا و يا هر چيز مسطح(0.25),ميز غذا(0.25),غذاي روي ميز(0.25),اغذيه(0.25),ميزشور يادادگاه(0.25),هيئت عامله ياامنا(0.25),هيئت مديره(0.25),هيئت بازرگاني(0.25),سوار شدن(0.5),بكنار كشتي امدن(0.25),پانسيون شدن(0.25),خوراك دادن(0.25),تخته بندي كردن(0.25),تخته پوش كردن(0.25)
boat|قايق(0.75),كشتي كوچك(0.25),كرجي(0.25),هر چيزي شبيه قايق(0.25),قايق راني كردن(0.25)
bob|فريب(0.5),ضربت(0.5),شاقول(0.5),سرزنش يا طعنه(0.5),شوخي(0.5),مسخره(0.5),حقه(0.5),وزنه قپان(0.5),منگوله(0.5),حركت تند و سريع(0.5),سرود ياتصنيف(0.5),يك شيلينگ(0.5),اونگان(0.5),فريب دادن(0.5),ضربت زدن(0.5)
body|بدن(0.75),بدنه(0.75),جسم(0.5),تن(0.5),جسد(0.5),لاشه(0.25),اندام(0.5),پيكر(0.5),تنه(0.5),اطاق ماشين(0.25),جرم سماوي(0.25),جرم(0.25),بالاتنه(0.25),داراي جسم كردن(0.25)
bodyline|bodyline(0.75)
bodywork|بدنه(0.75)
boggy|سخت كرده بود(0.75)
bold|جسور(0.5),خيره(0.5),بي باك(0.25),گستاخ(0.25),بي پروا(0.25),دلير(0.25),خشن و بي احتياط(0.25),متهور(0.25),باشهامت(0.25),چيره(0.25),سرزنده(0.25),غيور(0.25),بامروت(0.25),خيره سر(0.25),سرانداز(0.25),سلحشور(0.25)
bomber|بمب انداز(0.5),هواپيماي بمب افكن(0.25)
bond|اوراق قرضه(0.75),رابطه(0.5),ضمانت(0.5),پيوستگي(0.5),قيد(0.25),زنجير(0.25),بند(0.25),قرارداد الزاماور(0.25),عهد وميثاق(0.25),قرارداد(0.25),كفيل(0.25),ضمانتنامه(0.25),رهن كردن(0.25),تضمين كردن(0.25)
bone|استخوان(0.75),استخوان بندي(0.25),عظم(0.25),گرفتن يا برداشتن(0.25),خواستن(0.25),درخواست كردن(0.25),تقاضا كردن(0.25)
book|كتاب(0.75),دفتر(0.5),فصل(0.25),سفر(0.25),فصل ياقسمتي از كتاب(0.25),رزرو كردن(0.5),در كتاب يادفتر ثبت كردن(0.25),توقيف كردن(0.25)
booklet|كتابچه(0.75),جزوه(0.75),دفترچه(0.75),كتاب كوچك(0.25),رساله(0.75)
boot|بوت(0.75)
border|مرز(0.75),حد(0.25),حاشيه(0.75),كناره(0.5),سرحد(0.5),لبه(0.5),خط مرزي(0.25),خط سرحدي(0.25),سامان(0.25),محدود كردن(0.25),لبه گذاشتن(0.25),سجاف كردن(0.25),حاشيه گذاشتن(0.25),مجاور بودن(0.25)
born|متولد(0.75),مولد(0.75),زاد(0.75),زاييده شده(0.75),مولود(0.75),طبيعي(0.25)
borough|قصبه(0.75),بخش(0.75),دهكده(0.5)
borrowing|استقراض(0.75)
boss|ارباب(0.5),رئيس(0.25),رئيس كارفرما(0.25),برجستگي(0.25),متصدي(0.25),خواجه(0.25),بر جسته كاري(0.25),رياست كردن بر(0.25),اربابي كردن(0.25),نقش برجسته تهيه كردن(0.25)
botch|سرهم بندي(0.75),وصله و پينه بدنما(0.75),كار سرهم بندي(0.75),ورم(0.75),سنبل كردن(0.75),خراب كردن(0.75),از شكل انداختن(0.75),سرهم بندي كردن(0.75)
both|هر دو(0.75),اين يكي و ان يكي(0.25),هم(0.75),نيز(0.25),هر دوي(0.5)
bottle|بطري(0.75),شيشه(0.5),محتوي يك بطري(0.25),در بطري ريختن(0.25)
bottom|پايين(0.75),ته(0.75),كف(0.5),زير(0.5),كشتي(0.25),غور(0.25),بن(0.25),پا(0.25)
bounce|گزاف گويي(0.75),پرش(0.5),جست(0.5),پريدن(0.5),گزاف گويي كردن(0.5),بالا جستن(0.5),پس جستن(0.5),بيرون انداختن(0.5),مورد توپ و تشر قرار دادن(0.5)
boundary|مرز(0.75),سرحد(0.5),كرانه(0.25),خط سرحدي(0.25),كراني(0.25)
bouquet|دسته گل(0.75)
bout|تقلا(0.75),كشمكش(0.5),يك دور مسابقه يا بازي(0.25)
bovine|گاوي(0.75),شبيه گاو(0.5),گاو خوي(0.5)
bow|تعظيم(0.75),كمان(0.75),قوس(0.5),سجود(0.5),تعظيم كردن(0.5),سرتكان دادن(0.25),خم شدن(0.25),خم كردن(0.25),سر فرود اوردن(0.25),خميده شدن(0.25),خميدن(0.25),سجود كردن(0.25)
box|جعبه(0.75),صندوق(0.5),محفظه(0.25),حعبه(0.25),قوطي(0.25),اطاقك(0.25),جاي ويژه(0.25),لژ(0.25),توگوشي(0.25),بوكس(0.25),ضرب(0.25),بوكس بازي كردن(0.25),در جعبه محصور كردن(0.25),در قاب يا چهارچوب گذاشتن(0.25),مشت زدن(0.25),مشت بازي كردن(0.25)
boxer|مشت زن(0.75),بوكس باز(0.5)
boxing|بوكس(0.75),مشت زني(0.5),مشت بازي(0.25)
boy|پسر(0.75),پسر بچه(0.5),خانه شاگرد(0.25)
boys|پسران(0.75)
brain|مغز(0.75),كله(0.25),مخ(0.25),هوش(0.25),خرد(0.25),ذكاوت(0.25),مغز كسي را دراوردن(0.25),بقتل رساندن(0.25)
branch|شعبه(0.75),شاخه(0.75),انشعاب(0.5),رشته(0.5),بخش(0.5),فرع(0.5),شاخ(0.25),تركه(0.25),منشعب شدن(0.25),شاخه دراوردن(0.25),شاخهشاخه شدن(0.25),گل و بوته انداختن(0.25),مشتق شدن(0.25),جوانه زدن(0.25),براهجديدي رفتن(0.25)
brand|مارك(0.5),نشان(0.5),داغ(0.25),انگ(0.25),نيمسوز(0.25),جور(0.25),رقم(0.25),جنس(0.25),نوع(0.25),لكه بدنامي(0.25),علامت داغ(0.25),اتش پاره(0.25)
brave|شجاع(0.75),دلير(0.5),دلاور(0.5),غيور(0.5),سلحشور(0.5),تهم(0.5),نترس(0.5),با جرات(0.25),عالي(0.25),متهور(0.25),بي باك(0.25),بي پروا(0.25)
bravely|دليرانه(0.75),غازيانه(0.5)
brazil|برزيل(0.75)
brazilian|برزيل(0.75)
breach|رخنه(0.5),نقض عهد(0.5),شكاف(0.5),نقض عهد كردن(0.5),نقض كردن(0.5),رخنه كردن در(0.5),ايجاد شكاف كردن(0.5)
breaching|نقض(0.75)
bread|نان(0.75),قوت(0.25),نان زدن به(0.25)
break|شكستن(0.75),نقض كردن(0.25),از هم باز كردن(0.25),فتق داشتن(0.25),مكي كردن(0.25),شكست(0.75),وقفه(0.5),شكاف(0.5),تنفس(0.5),شكستگي(0.5),انقصال(0.25),مهلت(0.25),فرصت(0.25),تفريح(0.25),فرجه(0.25),بادخور(0.25)
breakaway|جدايي(0.75),فرار(0.5),استعفا(0.5),رم(0.5),هجوم وحشيانه گله گوسفند و گاو(0.5)
breakdown|تفكيك(0.75),سقوط ناگهاني(0.5),از كار افتادگي(0.25)
breast|پستان(0.75),سينه(0.75),افكار(0.25),وجدان(0.25),نوك پستان(0.25),هر چيزي شبيه پستان(0.25),سينه بسينهشدن(0.25),با سينه دفاع كردن(0.25)
breed|جنس(0.5),اولاد(0.5),اعقاب(0.5),گونه(0.5),نوع(0.25),پروردن(0.5),بار اوردن(0.5),زاييدن(0.5),بدنيا اوردن(0.5),توليد كردن(0.5),تربيت كردن(0.5),پرورش دادن(0.5)
breeding|توليد مثل(0.5),تعليم و تربيت(0.25)
brick|اجر(0.75),خشت(0.5),اجر گوشه گرد(0.25),اجر گرفتن(0.25)
bridge|پل(0.75),جسر(0.25),برامدگي بيني(0.25),بازي ورق(0.25),پل ساختن(0.25),اتصال دادن(0.25)
brief|مختصر(0.75),كوتاه مختصر(0.25),خلاصه كردن(0.25),كوتاه كردن(0.25),اگاهي دادن(0.25),مختصر كردن(0.25),حكم(0.25),دستور(0.25),خلاصه اخبار(0.25)
brigade|تيپ(0.75),تشكيلات(0.5),دسته(0.5),فئه(0.5)
bright|روشن(0.75),درخشان(0.75),تابناك(0.5),فروزان(0.25),زرنگ(0.5),تابان(0.25),افتابي(0.25),باكله(0.25),با هوش(0.25)
brighter|روشن تر(0.75)
brilliant|با استعداد(0.75)
bring|را(0.75)
bringing|اوردن(0.75)
bristol|بريستول(0.75)
britain|بريتانيا(0.75),انگليس(0.75)
britannia|خاك انگليس(0.75)
british|انگليسي(0.75)
brixton|Brixton در(0.75)
broad|پهن(0.75),عريض(0.5),گشاد(0.25),پهناور(0.25),زن هرزه(0.25)
broadcast|پخش(0.75),داده پراكني(0.25),سخن پراكني(0.25),منتشر كردن(0.25),پراكندن(0.25),اشاعه دادن(0.25),رساندن(0.25),پخش كردن(0.25)
broadly|گسترده(0.75)
broadsheet|broadsheet(0.75)
brogue|پوتين(0.75),چكمه(0.75),كفش(0.75),چكمه سنگين پاشنهدار(0.75),لهجه محلي(0.75),كفش خشن و سنگين(0.75),فريب(0.75)
broke|شكست(0.75),ورشكسته(0.75),بي پول(0.25)
broker|دلال(0.5),واسطه معاملات بازرگاني(0.25)
bromide|برمور(0.5),اظهار يا بيان مبتذل(0.5),نمك الي يامعدني اسيد هيدروبرميك(0.5)
brooklands|brooklands(0.75)
brother|برادر(0.75),اخ(0.25),هم قطار(0.25)
brown|قهوهاي(0.5),خرمايي(0.25),برشته كردن(0.25),قهوهاي كردن(0.25)
brucellosis|بروسلوز(0.75)
brunsson|brunsson(0.75)
brush|قلم مو(0.75),ماهوت پاك كن(0.25),ليف(0.25),كفش پاك كن و مانند ان(0.25),علف هرزه(0.25),بروس لوله(0.25),خس(0.25),ملامت(0.25),پاك كن(0.25),مسواك زدن(0.75),ليف زدن(0.5),نقاشي كردن(0.5)
brushed|خار(0.75),مرتفع(0.5)
brussels|بروكسل(0.75)
brutality|وحشيگري(0.75),بي رحمي(0.5),سبعيت(0.5),جانور خويي(0.5),خرق(0.25)
buddhism|مذهب بودا(0.75)
buddhist|بودايي(0.75)
budget|بودجه(0.75),حساب درامد و خرج(0.25)
budgetary|مربوط به بودجه(0.5)
buffalo|گاو وحشي(0.75),ترساندن(0.5)
buggy|حشره دار(0.75),نوعي درشكه سبك يك اسبه(0.5)
build|ساختن(0.75),درست كردن(0.25),بنا كردن(0.25),ساختمان كردن(0.25)
builder|سازنده(0.75),خانه ساز(0.5)
building|ساختمان(0.75),خانه(0.5),عمارت(0.5),بنا(0.25),ساختماني(0.75)
bujumbura|بوجومبورا(0.75)
bull|گاو نر(0.75),نر(0.5),حيوانات نر بزرگ(0.25),مثل گاو نر رفتاركردن(0.25),بي پروا كار كردن(0.25)
bullet|گلوله(0.75),گلوله تفنگ(0.25),مرمي(0.5)
bunche|بانچ(0.75)
bundle|بسته(0.75),بقچه(0.5),دسته كردن(0.5),بصورت گره دراوردن(0.5),بقچه بستن(0.5)
bureaucracy|ديوان سالاري(0.5),حكومت اداري(0.5),رعايت تشريفات اداري بحد افراط(0.25),تاسيسات اداري(0.25),مجموع گماشتگان دولتي(0.25),كاغذ پراني(0.25),مقرراتي واهل كاغذ بازي(0.25)
bureaucratic|وابسته به امور اداري(0.5),وابسته به ادارهبازي وكاغذ پراني(0.25),وابسته به ديوانسالاري(0.25)
burly|زبر و خشن(0.75),تنومند(0.5),گره دار(0.5),ستبر(0.5),كلفت(0.5),سفت(0.5)
burma|برمه(0.75)
burn|سوختگي(0.75),اثر سوختگي(0.25),سوختن(0.5),اتش زدن(0.25),در اتش شهوت سوختن(0.25),سو زاندن(0.25),محترق شدن(0.25),چريدن(0.25),سوزش كردن(0.25)
burnhill|burnhill(0.75)
burning|سوزش(0.75),سوز(0.5),سوزان(0.75),سوزش اور(0.25),سوزنده(0.25),محترق(0.25),سوزش دار(0.25)
burr|با مته سوراخ كردن(0.75),غليظ تلفظ كردن(0.5),تيغ(0.5),پوست زبرو خاردارميوه(0.5),گره(0.5),بر امدگي(0.5)
burst|انفجار(0.75),شليك(0.5),شيوع(0.25),طوفان اتش(0.25),تركيدن(0.5),شكفتن(0.5),قطع كردن(0.25),منفجر كردن(0.25),از هم پاشيدن(0.25)
bury|از نظر پوشاندن(0.5),دفن كردن(0.5),بخاك سپردن(0.5)
bus|اتوبوس(0.75),گذرگاه(0.75),مسير عمومي(0.25),با اتوبوس رفتن(0.25)
bush|بوش(0.75),بوته(0.75),بته(0.5),شاخ و برگ(0.5)
busily|busily(0.75)
business|تجارت(0.5),حرفه(0.5),سوداگري(0.25),كار و كسب(0.25),داد و ستد(0.25),كاسبي(0.25),بنگاه(0.25)
busy|مشغول(0.75),شلوغ(0.75),دست بكار(0.25),مشغول كردن(0.25)
but|اما(0.75),ولي(0.75),مگر(0.5),ليكن(0.25),بلكه(0.5),فقط(0.25),بطور محض(0.25),جز(0.5),باستثناي(0.25),بدون(0.25),بل(0.25),با وجود(0.25)
butter|كره(0.75),روغن(0.5),روغن زرد(0.25),كره ماليدن روي(0.25),چاپلوسي كردن(0.25)
butterfly|پروانه(0.75)
button|دكمه(0.75),تكمه(0.25),غنچه(0.25),هر چيزي شبيه دكمه(0.25),تكمه زدن(0.25),با دكمه محكم كردن(0.25)
buy|خريد(0.75),ابتياع(0.25),خريداري(0.5),خريدن(0.5),تطميع كردن(0.25),خريداري كردن(0.25),خريد كردن(0.25)
buying|خريد(0.75)
by|توسط(0.75),با(0.75),بوسيله(0.5),از(0.5),بدست(0.25),بواسطه(0.25),بتوسط(0.25),پهلوي(0.25),نزديك(0.25),از پهلوي(0.25),از كنار(0.25),كنار(0.25)
bypass|گذرگاه(0.5),گذرگاه فرعي(0.25),از راه فرعي رفتن(0.25),كنار گذاشتن(0.25),گذشتن(0.25)
caat|CAAT(0.75)
cabinet|كابينه(0.75),قفسه(0.5),اطاقك(0.25),جعبه كشودار(0.25),هيئت وزرا(0.25),هيئت دولت(0.25)
cache|نهانگاه(0.5),مخزن(0.5),ذخيره گاه(0.5),چيز ذخيره(0.25),چيز نهان شده(0.25),پنهان كردن(0.25)
cactus|كاكتوس(0.75),صباره خنجري(0.5),انجير هندي(0.5)
cafe|كافه(0.75),رستوران(0.5)
caff|caff(0.75)
calculate|محاسبه(0.75)
calculating|محاسبه(0.75)
calculation|محاسبه(0.75),محاسبات(0.75),حساب(0.5),براورد(0.25)
calendar|تقويم(0.75),سالنامه(0.5),سالنما(0.25)
california|كاليفرنيا(0.75)
call|صدا(0.5),ندا(0.25),دعوت(0.5),بانگ(0.25),فرياد(0.25),احضار(0.25),نامبري(0.25),طلب(0.25),فرا خواندن(0.25),صدا زدن(0.25),ناميدن(0.25),احضار كردن(0.25),خواستن(0.25),ملقب كردن(0.25),خواندن(0.25)
callinicos|كالينيكوس(0.75)
calvary|كالوري(0.75)
cambodia|كامبوج(0.75)
cambodian|كامبوج(0.75)
camcorder|دوربين فيلمبرداري(0.75)
came|امد(0.75)
camera|دوربين(0.75),دوربين يا جعبه عكاسي(0.25)
cameron|كامرون(0.75)
camp|اردوگاه(0.75),اردو(0.75),لشكرگاه(0.25),خيمه گاه(0.25),ربع(0.25),خيل(0.25),منزل كردن(0.25),اردو زدن(0.25),چادر زدن(0.25),خيمه زدن(0.25)
campaign|كمپين(0.75)
can|مي توانيد(0.75),قوطي(0.75),حلبي(0.25),قوطي كنسرو(0.25),قادر بودن(0.25),قدرت داشتن(0.25),امكان داشتن(0.25),زندان كردن(0.25),در قوطي ريختن(0.25),اخراج كردن(0.25),توانايي داشتن(0.25)
canada|كانادا(0.75),كشور كانادا(0.5)
canal|مجرا(0.5),كاريز(0.5),ترعه(0.25),زه اب(0.25),مجراي فاضلاب(0.25),ابراه(0.25),اب رو(0.25),ترعه زدن(0.25),حفرترعه كردن(0.25),ابراه ساختن(0.25)
candidate|نامزد(0.75),داوطلب(0.75),كانديد(0.75),داوخواه(0.25)
candle|شمع(0.75),شمع ساختن(0.25)
canteen|قمقمه(0.75),فروشگاه يا رستوران(0.5),نهارخوري(0.5)
cap|كلاه(0.75),كلاهك(0.75),راس(0.25),سربطري يا قوطي(0.25),سر پوش(0.25),با كلاهك پوشاندن(0.25),پوشش دار كردن(0.25)
capability|قابليت(0.75),توانايي(0.75),استعداد پيشرفت(0.25),صلاحيت(0.25),لياقت(0.25),سامان(0.25)
capacity|ظرفيت(0.75),گنجايش(0.5),صلاحيت(0.25),استعداد(0.25),مقام(0.25)
cape|شنل(0.75),دماغه(0.5)
capital|سرمايه(0.75),پايتخت(0.75),مركز(0.5),حرف بزرگ(0.25),سرستون(0.25),مستقر(0.25),تنخواه(0.25),مايه(0.25),حرف درشت(0.25),راسي(0.25),مستلزم بريدن سر يا قتل(0.25),قابل مجازات مرگ(0.25),داراي اهميت حياتي(0.25),عالي(0.25)
capture|تسخير(0.75),دستگيري(0.5),گرفتن(0.75),مبتلا كردن(0.25),اسير كردن(0.25)
car|اتومبيل(0.75),واگن(0.25),اطاق راه اهن(0.25),هفت ستاره دب اكبر(0.25),اطاق اسانسور(0.25)
caracas|كاراكاس(0.75)
carbon|كربن(0.75),ذغال خالص(0.25),الماس بيفروغ(0.25)
carbonise|carbonise(0.75)
carcase|جسد(0.75)
card|كارت(0.75),ورق(0.5),برگ(0.25),ورقبازي(0.25),گنجفه(0.25),كارت ويزيت(0.25),بليط(0.25),كارت تبريك(0.25),كارت عضويت(0.25),ماشين پرداخت پارچه(0.25),ورقبازي كردن(0.25)
care|مراقبت(0.75),توجه(0.5),مواظبت(0.5),سرپرستي(0.5),پرستاري(0.5),تيمار(0.25),بيم(0.25),دلواپسي غم(0.25),پروا(0.25),غم(0.25),غم خوردن(0.25),سرپرستي كردن(0.25)
career|حرفه اي(0.75)
carefully|بدقت(0.75)
carers|سرپرستان(0.75)
cargo|بار(0.75),محموله دريايي(0.25),بار كشتي(0.25)
caribbean|كارائيب(0.75)
caring|مراقبت(0.75)
carlton|كارلتون(0.75)
carpet|فرش(0.75),قالي(0.75),زيلو(0.25)
carriage|كالسكه(0.75),نورد(0.5)
carrier|حامل(0.75),حمال(0.25),حرفه(0.25),موج حام ل(0.25),حامل ميكرب(0.25),دستگاه كارير(0.25)
carry|رقم نقلي(0.5),بردن(0.5),بدوش گرفتن(0.25),حمل كردن(0.25),حمل و نقل كردن(0.25)
cartographer|نقشه كش(0.75)
carton|كارتن(0.75),مقوا(0.75),جعبه مقوايي(0.5),جاكاغذي(0.25)
carving|كنده كاري(0.75),حكاكي(0.75),فر كوتاه مدت(0.5),بريدن(0.5)
case|مورد(0.75),محفظه(0.75),صندوق(0.25),پرونده(0.5),حالت(0.5),وضعيت(0.25),قضيه(0.5),جعبه(0.25),جلد(0.25),نيام(0.25),غلاف(0.25),قالب(0.25)
cash|پول نقد(0.75),صندوق پول(0.25),پول خرد(0.25),موجودي(0.25),نقد كردن(0.5),وصول كردن(0.25),دريافت كردن(0.25)
cassava|منهوت(0.5),نشاسته كاساو(0.5),ارد مانيوك(0.5)
cast|قالب(0.5),مهره ريزي(0.25),طاساندازي(0.25),گچ گيري(0.25),انداختن(0.5),در قالب قرار دادن(0.25),معين كردن(0.25),پخش كردن(0.25),ريختن(0.25),افكندن(0.25),بشكل در اوردن(0.25),مطرود(0.25)
casting|ريخته گري(0.75),پرتاب(0.5),چدن ريزي(0.25),سبك(0.25)
castle|قلعه(0.75),دژ(0.5),قصر(0.5),رخ(0.25)
cat|گربه(0.75),شلاق زدن(0.25),قي كردن(0.25),شلاق لنگر برداشتن(0.25)
catalogue|كاتالوگ(0.75),فهرست(0.75),كتاب فهرست(0.25),فهرست نامه(0.25),فهرست مدون(0.25),فهرست كردن(0.5),فهرست به فهرست بردن(0.25)
catalysis|تجزيه(0.75)
catastrophe|فاجعه(0.75),مصيبت(0.5),بلاي ناگهاني(0.5),فلاكت(0.5)
catastrophic|فاجعه انگيز(0.5),مصيبت بار(0.5)
catch|گرفتن(0.75),قاپيدن(0.25),از هوا گرفتن(0.25),بدست اوردن(0.25),جلب كردن(0.25),درك كردن(0.25),فهميدن(0.25),دچار شدن به(0.25),چنگ زدن(0.25),دستگيره(0.5),اخذ(0.5),شكار(0.5),زبانه(0.25),عمل گرفتن(0.25),لغت چشمگير(0.25)
cater|تهيه كردن(0.75),اذوقه رساندن(0.5),خواربار رساندن(0.5)
cathedral|كليساي جامع(0.75)
catholic|كاتوليك(0.75),جامع(0.75),بلند نظر(0.5),ازاده(0.5)
catholicism|اصول مذهب كاتوليكي(0.75)
caucasus|قفقاز(0.75)
cause|علت(0.75),انگيزه(0.25),موجب(0.75),سبب(0.75),جنبش(0.5),هدف(0.5),جهت(0.25),باعي(0.25),مرافعه(0.25),موضوع منازع فيه(0.25),نهضت(0.25),موري(0.25)
cedefop|cedefop(0.75)
celebrate|جشن گرفتن(0.5),عيدگرفتن(0.25),ايين نگاهداشتن(0.25),تقديس كردن(0.25),تجليل كردن(0.25),علم كردن(0.25)
celebrity|شهرت(0.5),شخص نامدار(0.25),ستاره يا شخصيت برجسته جماعت(0.25),عضو صنوف ممتازه اجتماع(0.25),سر بلندي(0.25)
cell|سلول(0.75),خانه(0.5),پيل(0.5),حجره(0.25),ياخته(0.25),زندان تكي(0.25),سلول يكنفري(0.25),باطري(0.25),حفره(0.25)
censor|سانسورچي(0.75),مامور سانسور(0.5),بازرس مطبوعات و نمايشها(0.5),سانسور كردن(0.5)
centimetre|سانتي متر(0.75)
central|مركزي(0.75),مياني(0.75),بطرف وسط(0.25)
centre|مركز(0.75),مدار(0.25),ميانه(0.25),ميان(0.25),وسط و نقطه مركزي(0.25),در مركز قرار گرفتن(0.25),تمركز يافتن(0.25)
centrist|ميانه(0.75)
century|قرن(0.75),سده(0.5)
certain|بعضي(0.75),بعض(0.25),معين(0.5),قطعي(0.5),معلوم(0.25),مسلم(0.5),تاحدي(0.25),محقق(0.25),فلان(0.25),خاطر جمع(0.25),خاطرجمعي(0.25)
certainly|قطعا(0.75),مطمئنا(0.75),حتما(0.5),يقينا(0.5),همانا(0.5),محققا(0.5)
certificate|گواهي نامه(0.75),سند رسمي(0.25),شهادت نامه(0.25),گواهي صادر كردن(0.25)
cfln|cfln(0.75)
chain|زنجير(0.75),سلسله(0.5),رشته(0.5),كند و زنجيز(0.25),حلقه(0.25),ريسه(0.25),زنجير كردن(0.25),زنجيرهاي كردن(0.25)
chair|صندلي(0.75),مقر(0.25),كرسي استادي در دانشگاه(0.25),بر كرسي يا صندلي نشاندن(0.25)
challenge|چالش(0.75)
chamber|اتاق(0.75),تالار(0.5),حجره(0.5),اتاق خواب(0.25),خوابگاه(0.25),خان(0.25),فشنگ خورياخزانه(0.25),دفتركار(0.25),اپارتمان(0.25),در اطاق قرار دادن(0.25),جا دادن(0.25)
chance|شانس(0.75),فرصت(0.75),بخت(0.5),مجال(0.5),تصادف(0.25),پا(0.25),اتفاقي(0.5),تصادفي(0.5),اتفاق افتادن(0.25)
chancellor|صدر اعظم(0.75),رئيس دانشگاه(0.25)
change|تغيير(0.75),دگرگوني(0.5),عوض(0.5),تحول(0.5),پول خرد(0.25),مبادله(0.25),بدل(0.25),تصرف(0.25),دگرگون كردن يا شدن(0.25),عوض كردن(0.25),عوض شدن(0.25),تغيير دادن(0.25)
changing|متغير(0.5)
channel|كانال(0.75),مجراي فاضل اب(0.25),مجرا(0.25),دريا(0.25),ترعه(0.25),ورودي و خروجي مجرايي(0.25),كندن(0.25),شيار دار كردن(0.25)
chant|مناجات(0.75),سرود(0.75),اهنگ ساده و كشيده(0.5),سرايش(0.5),سرود يا اهنگ خواندن(0.5)
chap|مرد(0.5),شكاف(0.5),ترك(0.5),جوانك(0.5),فك(0.5),چانه(0.5),خراش(0.5),مشتري(0.25),انتخاب كردن(0.5),شكاف دادن(0.5),تركاندن(0.5),زدن(0.5),خشكي زدن(0.5)
chapel|كليساي كوچك(0.75),نماز خانه كوچك نزديك كليسا(0.5)
chapman|تاجر(0.75),دلال(0.75),واسطه سيار(0.75)
chapter|فصل(0.75),باب(0.5),قسمت(0.5),شعبه(0.5),مقاله(0.5),فصل ياقسمتي از كتاب(0.25),فصل يا قسمت مختصري(0.25)
char|زغال(0.5),جسم زغال(0.5),كار روز مزد و اتفاقي(0.25),تبديل به زغال كردن(0.5),انجام دادن(0.5),كردن(0.25),نيمسوز شدن(0.5),نيم سوز كردن(0.5)
character|شخصيت(0.75),خط(0.5),دخشه(0.5),مونه(0.25),خيم(0.25),نهاد(0.25),سيرت(0.25),صفات ممتازه(0.25),هر نوع حروف نوشتني و چاپي(0.25),رقم(0.25),طبيعت(0.25),سرشت(0.25)
